Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Lower middle income,LMC,111.1299151,107.4769283,132.1495923,123.1715603,120.0768413,120.3683939,120.9055206,130.3452278,121.2736394,107.3161769,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Middle East, North Africa, Afghanistan & Pakistan",MEA,59.63980773,50.76764191,32.26259542,29.59352926,29.13919176,29.06462779,28.85137931,27.70158977,27.63965402,26.99643498,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",MNA,73.84076229,71.88574954,55.54540941,50.77267582,46.5615019,46.34386117,43.64557046,43.00635358,43.15304047,40.44092356,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",TMN,73.84076229,71.88574954,55.46947502,50.77267582,46.5615019,46.2776975,43.57460308,42.92894738,43.07645161,40.44092356,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Middle income,MIC,128.5093933,116.4626409,110.243863,115.3177698,122.1067361,124.1712519,116.5124389,127.3298352,124.0693328,120.3036558,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,North America,NAC,59.96934982,68.94045661,75.69622868,74.0939446,69.95274182,67.26007398,67.70345527,69.61675213,69.90578719,66.00795149,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Not classified,INX,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,OECD members,OED,78.13575465,89.18258759,87.3255081,88.37173431,86.10883793,82.4589797,83.02414634,84.75518216,84.04889931,84.21729534,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Other small states,OSS,..,140.5636042,101467.1473,108275.4451,48051.7265,47524.1685,49483.50254,49822.53201,53768.72869,45296.61717,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Pacific island small states,PSS,..,..,..,..,..,..,..,..,..,..,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Post-demographic dividend,PST,76.48725729,78.89003667,77.47529192,77.34793327,75.19643012,73.39541952,72.66572164,75.70061646,75.40323864,72.21862207,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Pre-demographic dividend,PRE,90.38760655,124.251521,409.177743,302.9040153,352.1210123,331.2474959,322.4876367,401.2219837,363.6279194,170.0059313,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Small states,SST,..,30.71889712,30.48224613,30.82863231,29.89865306,33.39650678,30.21730585,27.81012527,28.80691758,29.41789326,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,South Asia,SAS,134.0515121,115.2536835,160.1372144,154.0639682,156.6057212,164.5075165,168.1627401,188.4630343,175.1510203,156.7109388,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,South Asia (IDA & IBRD),TSA,134.0515121,115.2536835,160.1372144,154.0639682,156.6057212,164.5075165,168.1627401,188.4630343,175.1510203,156.7109388,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Sub-Saharan Africa,SSF,114.7258841,139.9061334,418.4791645,365.8929386,399.0398394,378.5281738,407.5320334,481.3954258,469.1199575,251.6466225,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Sub-Saharan Africa (excluding high income),SSA,114.7258841,139.9061334,362.6495146,309.5654978,350.1531871,343.064148,368.9105881,424.1046304,402.4279417,215.3615084,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,114.7258841,139.9061334,418.4791645,365.8929386,399.0398394,378.5281738,407.5320334,481.3954258,469.1199575,251.6466225,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,Upper middle income,UMC,138.0326345,121.3959607,102.3051113,112.0655489,123.0934707,126.1058034,114.2899665,125.7041092,125.5837622,128.8785374,..,..,
Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,World,WLD,97.10874887,92.77908648,88.76067637,90.44309104,92.67536138,92.60932173,89.16237678,94.20706583,92.15849024,91.10088083,..,..,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,
Last Updated: 10/07/2025,,,,,,,,,,,,,,,,
Code,License Type,Indicator Name,Short definition,Long definition,Source,Topic,Dataset,Unit of measure,Periodicity,Reference period,Aggregation method,Statistical concept and methodology,Development relevance,Limitations and exceptions,Other notes,License URL
AG.CON.FERT.PT.ZS,CC BY-4.0,Fertilizer consumption (% of fertilizer production),"Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis.","Fertilizer consumption measures the quantity of plant nutrients used per unit of arable land. Fertilizer products cover nitrogenous, potash, and phosphate fertilizers (including ground rock phosphate). Traditional nutrients--animal and plant manures--are not included. For the purpose of data dissemination, FAO has adopted the concept of a calendar year (January to December). Some countries compile fertilizer data on a calendar year basis, while others are on a split-year basis.","FAO electronic files and web site, Food and Agriculture Organization of the United Nations (FAO), publisher: Food and Agriculture Organization of the United Nations (FAO)",Environment: Agricultural production,WDI,% (ratio),Annual,1961-2022,Weighted average,"Methodology: Fertilizer consumption measures the quantity of plant nutrients, and is calculated as production plus imports minus exports. Because some chemical compounds used for fertilizers have other industrial applications, the consumption data may overstate the quantity available for crops. Fertilizer consumption as a share of production shows the agriculture sector's vulnerability to import and energy price fluctuation.













Most fertilizers that are commonly used in agriculture contain the three basic plant nutrients - nitrogen, phosphorus, and potassium. Some fertilizers also contain certain micronutrients"," such as zinc and other metals that are necessary for plant growth. Materials that are applied to the land primarily to enhance soil characteristics (rather than as plant food) are commonly referred to as soil amendments. Fertilizers and soil amendments are largely derived from raw material, composts and other organic matter, and wastes, such as sewage sludge and certain industrial wastes.













FAO defines arable land as land under temporary crops (double-cropped areas are counted once), temporary meadows for mowing or for pasture, land under market or kitchen gardens, and land temporarily fallow; land abandoned as a result of shifting cultivation is excluded.","Factors such as the green revolution, has led to impressive progress in increasing crop yields over the last few decades. This progress, however, is not equal across all regions. Continued progress depends on maintaining agricultural research and education. The cultivation of cereals varies widely in different countries and depends partly upon the development of the economy. Production depends on the nature of the soil, the amount of rainfall, irrigation, quality od seeds, and the techniques applied to promote growth.













Agriculture is still a major sector in many economies, and agricultural activities provide developing countries with food and revenue. But agricultural activities also can degrade natural resources. Poor farming practices can cause soil erosion and loss of soil fertility. Efforts to increase productivity by using chemical fertilizers, pesticides, and intensive irrigation have environmental costs and health impacts. Salinization of irrigated land diminishes soil fertility. Thus, inappropriate use of inputs for agricultural production has far-reaching effects.













In many developed countries, excessive nitrogen fertilizer applications have sometime lead to pest problems by increasing the birth rate, longevity and overall fitness of certain agricultural pests, such as aphids. Further, excessive use of fertilizers emits significant quantities of greenhouse gas into the atmosphere. Over-fertilization of a vital nutrient can be detrimental, as fertilizer burn"" can occur when too much fertilizer is applied", resulting in drying out of the leaves and damage or even death of the plant. In many industrialized countries, overuse of fertilizers has resulted in contamination of surface water and groundwater.
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
There is no single correct mix of inputs to the agricultural land, as it is dependent on local climate, land quality, and economic development; appropriate levels and application rates vary by country and over time and depend on the type of crops, the climate and soils," and the production process used.""","The FAO has revised the time series for fertilizer consumption and irrigation for 2002 onward. FAO collects fertilizer statistics for production, imports, exports, and consumption through the new FAO fertilizer resources questionnaire. In the previous release, the data were based on total consumption of fertilizers, but the data in the recent release are based on the nutrients in fertilizers. Some countries compile fertilizer data on a calendar year basis, while others compile on a crop year basis (July-June). Previous editions of this indicator, Fertilizer consumption (100 grams per hectare of arable land), reported data on a crop year basis, but this edition uses the calendar year, as adopted by the FAO. Caution should thus be used when comparing data over time.











The data are collected by the Food and Agriculture Organization of the United Nations (FAO) through annual questionnaires. The FAO tries to impose standard definitions and reporting methods, but complete consistency across countries and over time is not possible. The secondary sources cover official country data from websites of national ministries, national publications and related country data reported by various international organizations.",The world and regional aggregate series do not include data from countries that no longer exist.,https://datacatalog.worldbank.org/public-licenses#cc-by,,,,,,,,
