Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Central African Republic,CAF,40.93,53.37,96.07,110.89,111.84,130.54,153.47,165.58,169.35,173.39,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Chad,TCD,31.67,49.22,92.45,106.81,98.37,103.38,109.83,105.9,101.49,104.38,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Chile,CHL,51,68.87,101.86,101.52,100.41,112.62,110.32,104.83,107.19,106.37,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,China,CHN,40.1,61.97,101.49,101.14,103.12,104.39,107.84,107.94,109.76,111.85,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Colombia,COL,73.05,77.76,100.36,104.41,96.42,84.67,110.94,110.22,108.9,111.63,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,Comoros,COM,59.86,68.4,98.58,102.7,103.12,105.43,105.74,106.46,107.72,107.76,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Congo, Dem. Rep.",COD,57.03,47.31,99.2,102.09,104.04,106.53,108.98,113.81,118.6,123.65,..,..,,,,
Crop production index (2014-2016 = 100),AG.PRD.CROP.XD,"Congo, Rep.",COG,49.46,63.4,100.53,98.49,99.12,100.7,100.5,101.45,104.78,105.92,..,..,,,,
